question,option1,option2,option3,option4,correct_option,genre,difficulty,hint,option_explanations
「BLEACH」で護廷十三隊の総隊長を務める人物は誰でしょうか？,山本元柳斎重國,京楽春水,更木剣八,朽木白哉,1,漫画,hard,,山本元柳斎重國は千年以上護廷十三隊を率いる最強の死神で、炎系最強の斬魄刀「流刃若火」を持ちます。|京楽春水は八番隊隊長で、後に山本の後を継いで総隊長になりますが、当初の総隊長は山本元柳斎です。|更木剣八は十一番隊隊長で、戦闘狂として知られる強力な死神ですが、総隊長ではありません。|朽木白哉は六番隊隊長で、貴族出身の冷静な死神です。総隊長は山本元柳斎です。
「鬼滅の刃」で炎柱・煉獄杏寿郎が使う技「炎の呼吸 奥義」はどれでしょうか？,玖ノ型 煉獄,壱ノ型 不知火,肆ノ型 盛炎のうねり,伍ノ型 炎虎,1,漫画,hard,,「玖ノ型 煉獄」は煉獄杏寿郎の最強奥義で、映画「無限列車編」の猗窩座戦で使用されました。圧倒的な火力を誇ります。|「壱ノ型 不知火」は炎の呼吸の基本技の一つですが、最強奥義ではありません。|「肆ノ型 盛炎のうねり」も炎の呼吸の技の一つですが、玖ノ型が奥義です。|「伍ノ型 炎虎」は炎の呼吸の中級技ですが、最強の奥義は玖ノ型 煉獄です。
「進撃の巨人」でライナー・ブラウンが持つ巨人の能力はどれでしょうか？,鎧の巨人,超大型巨人,獣の巨人,顎の巨人,1,漫画,hard,,ライナーは全身が硬質化した装甲で覆われた「鎧の巨人」の継承者です。高い防御力と突進力を持ちます。|超大型巨人はベルトルトが持っていた能力で、後にアルミンが継承します。60mの巨体が特徴です。|獣の巨人はジーク・イェーガー（エレンの異母兄）が持つ能力です。投擲能力に優れています。|顎の巨人はユミルやポルコ、ファルコが継承した能力で、小型で素早く顎の力が強いのが特徴です。
「DEATH NOTE」で死神リュークが人間界に落としたデスノートは何冊目でしょうか？,2冊目,1冊目,3冊目,4冊目,1,漫画,hard,,リュークは退屈しのぎに自分が持っていた2冊目のデスノートを人間界に落としました。それを拾ったのが夜神月です。|1冊目のデスノートはリュークが死神界で使用していたもので、落としたのは2冊目です。|死神は基本的に2冊までしかデスノートを持てません。3冊目は存在しません。|4冊目という設定もありません。リュークが落としたのは自分の2冊目のノートです。
「キングダム」で秦国の六大将軍に数えられる王騎将軍の愛馬の名前はどれでしょうか？,松風,赤兎馬,絶影,的盧,1,漫画,hard,,王騎将軍の愛馬は「松風」という名前で、主人と共に数々の戦場を駆け抜けました。後に信に託されます。|赤兎馬は三国志の呂布や関羽が乗った名馬として有名ですが、キングダムの王騎の馬ではありません。|絶影も三国志に登場する名馬（曹操の愛馬）ですが、王騎の馬は松風です。|的盧も三国志の劉備の馬として知られますが、王騎の愛馬は松風です。
「銀魂」で真選組局長・近藤勲が片思いしている女性は誰でしょうか？,お妙,さっちゃん,月詠,神楽,1,漫画,hard,,近藤は新八の姉・志村妙（お妙さん）に一途な恋心を抱いています。ストーカー行為で毎回撃退されますが諦めません。|さっちゃんは始末屋で、銀時に片思いしています。近藤の恋の相手ではありません。|月詠は吉原の自警団「百華」の頭領で、銀時に好意を寄せています。近藤の相手ではありません。|神楽は万事屋の一員で、まだ若い少女です。近藤が恋しているのはお妙さんです。
「こちら葛飾区亀有公園前派出所」で両津勘吉の趣味として最も有名なのはどれでしょうか？,金儲け,読書,料理,釣り,1,漫画,hard,,両津の最大の趣味は金儲けで、様々な副業や商売を思いつきますが、大抵失敗して借金を作ります。|読書は両津の趣味ではありません。むしろ勉強嫌いで知られています。|料理も両津の特技ではありません。食べることは好きですが作るのは得意ではありません。|釣りを楽しむ場面もありますが、最も有名な趣味は金儲けです。
「宇宙兄弟」で弟・南波日々人が月面で最初に発見した謎の物体は何でしょうか？,UFOの痕跡のような跡,宇宙人の足跡,古代文明の遺跡,隕石のかけら,1,漫画,hard,,日々人は月面でUFOの痕跡のような謎の跡を発見し、それが物語の重要な伏線となります。宇宙の謎に迫る展開です。|宇宙人の足跡という直接的な証拠ではなく、UFO痕跡のような跡でした。|古代文明の遺跡という設定はありません。発見したのは謎の痕跡です。|隕石のかけらではなく、人工物のような痕跡を発見しました。
「NARUTO」でうちはマダラが月の眼計画で使用した禁術の名前はどれでしょうか？,無限月読,穢土転生,屍鬼封尽,八門遁甲,1,漫画,hard,,無限月読は月に映した写輪眼で全人類を幻術に閉じ込める究極の瞳術です。マダラの最終目的でした。|穢土転生は死者を蘇らせる禁術で、カブトやオロチマルが使用しました。月の眼計画の中核ではありません。|屍鬼封尽は四代目火影が使った封印術で、自分の魂と引き換えに敵を封印します。マダラの術ではありません。|八門遁甲はガイが使う体術の奥義で、幻術ではありません。マダラの計画とは無関係です。
「NARUTO」で六道仙人の本名として正しいものはどれでしょうか？,大筒木ハゴロモ,大筒木インドラ,大筒木アシュラ,大筒木カグヤ,1,漫画,hard,,六道仙人の本名は「大筒木ハゴロモ」で、忍の祖として知られます。チャクラを広めた伝説的な人物です。|大筒木インドラはハゴロモの長男で、うちは一族の祖となりました。六道仙人本人ではありません。|大筒木アシュラはハゴロモの次男で、千手一族の祖となりました。六道仙人の息子です。|大筒木カグヤはハゴロモの母で、最初にチャクラを得た人物です。六道仙人ではなくその母です。
「NARUTO」でカカシが写輪眼を得たきっかけとなった戦いで亡くなった仲間は誰でしょうか？,うちはオビト,はたけサクモ,のはらリン,波風ミナト,1,漫画,hard,,カカシは神無毘橋の戦いで瀕死のオビトから写輪眼を移植されました。オビトの遺志を継ぐ形で左目に写輪眼を得ました。|はたけサクモはカカシの父で「木ノ葉の白い牙」として恐れられましたが、写輪眼とは関係ありません。|のはらリンはカカシの仲間で医療忍者でしたが、写輪眼を渡したのはオビトです。リンは後に別の形で死亡します。|波風ミナトはカカシの師匠（四代目火影）で、写輪眼とは無関係です。九尾事件で死亡しました。
「NARUTO」で五代目火影・綱手の額にある「陰封印」の目的として正しいものはどれでしょうか？,チャクラを蓄積し一気に放出する,不老不死を実現する,敵の術を封印する,痛みを感じなくする,1,漫画,hard,,陰封印は綱手の額に長年蓄積したチャクラを封印し、「百豪の術」として一気に解放することで強大な力と再生能力を得ます。|不老不死ではなく、若さを保つ「創造再生」の術と併用されますが、陰封印自体はチャクラ蓄積が目的です。|敵の術を封印する能力ではなく、自分のチャクラを蓄える封印術です。|痛みを感じなくする効果はありません。チャクラを蓄積して強大な力を得るための封印です。
「NARUTO」でうちはイタチが万華鏡写輪眼を開眼したきっかけは何でしょうか？,親友うちはシスイの死,うちは一族の虐殺,弟サスケとの別れ,暁への加入,1,漫画,hard,,イタチは親友シスイの自殺を目撃したことで万華鏡写輪眼を開眼しました。最も親しい者の死が開眼条件でした。|うちは一族の虐殺はイタチが万華鏡写輪眼を開眼した後に実行した任務で、開眼のきっかけではありません。|サスケとの別れは虐殺後のことで、万華鏡開眼のきっかけではありません。イタチは既に開眼していました。|暁への加入も虐殺後のことで、万華鏡写輪眼開眼とは無関係です。シスイの死が開眼のきっかけでした。
「NARUTO」で尾獣の中で最も尾の数が多い「九尾」の本名はどれでしょうか？,九喇嘛（クラマ）,守鶴（シュカク）,磯撫（イソブ）,孫悟空（ソンゴクウ）,1,漫画,hard,,九尾の狐の本名は「九喇嘛（クラマ）」で、ナルトの体内に封印されていました。最終的にナルトの最良のパートナーとなります。|守鶴（シュカク）は一尾の尾獣で、砂を操る能力を持ちます。我愛羅に封印されていました。|磯撫（イソブ）は三尾の尾獣で、亀の姿をしています。かつて四代目水影やのはらリンに封印されていました。|孫悟空（ソンゴクウ）は四尾の尾獣で、猿の姿をしています。岩隠れの老紫に封印されていました。
日本で最も多く消費されている野菜はどれでしょうか？,たまねぎ,じゃがいも,にんじん,キャベツ,1,日常雑学,easy,,たまねぎは和洋中どの料理にも使える万能野菜で、日本の野菜消費量第1位です。保存性も高く、家庭に常備されています。|じゃがいもも消費量が多い野菜ですが、統計上はたまねぎに次ぐ第2位～3位です。主食代わりにもなる便利な食材です。|にんじんは彩りや栄養面で重要な野菜ですが、消費量ではたまねぎには及びません。カロテンが豊富です。|キャベツも日本で人気の野菜ですが、消費量のトップはたまねぎです。サラダや炒め物に使われます。
日本で最も売れている飲み物のジャンルとして正しいものはどれでしょうか？,緑茶飲料,炭酸飲料,スポーツドリンク,ミネラルウォーター,1,日常雑学,easy,,緑茶飲料は日本の食文化に根付いており、ペットボトル飲料市場で長年トップの売上を誇ります。健康志向も追い風です。|炭酸飲料も人気がありますが、日本では緑茶飲料の売上が上回っています。コーラやサイダーなど種類は豊富です。|スポーツドリンクは夏場や運動時に需要がありますが、年間を通した売上では緑茶飲料に及びません。|ミネラルウォーターも健康志向で伸びていますが、緑茶飲料がトップです。
「冷蔵庫の中で最も傷みにくい食材」として一般的に正しいものはどれでしょうか？,卵,牛乳,レタス,魚,1,日常雑学,easy,,卵は殻に守られており、冷蔵保存で2週間～1ヶ月程度持つため、比較的傷みにくい食材です。生食は賞味期限内に。|牛乳は開封後は数日で傷みやすく、未開封でも1週間程度が目安です。卵より傷みやすいです。|レタスなどの葉物野菜は水分が多く、冷蔵庫でも数日で鮮度が落ちます。早めの消費が必要です。|魚は特に傷みやすい食材で、冷蔵でも1～2日以内に調理する必要があります。生ものは注意が必要です。
日本のコンビニで最も多く販売される時間帯はどれ？,12時前後,朝7時〜9時,深夜1時〜3時,夕方17時〜19時,1,日常雑学,easy,,昼食需要が集中する12時前後（11時～14時）がコンビニの最大ピークタイムです。弁当やおにぎりがよく売れます。|朝7時～9時も通勤・通学客で混雑しますが、昼のピークには及びません。朝食需要があります。|深夜1時～3時は来客数が最も少ない時間帯です。24時間営業でも販売数は少ないです。|夕方17時～19時も帰宅ラッシュで混雑しますが、昼のピークほどではありません。
レジ袋が有料化された主な目的はどれでしょうか？,環境負荷の軽減,店舗の売上向上,消費税対策,万引き防止,1,日常雑学,normal,,2020年7月からレジ袋有料化が義務化され、プラスチックごみ削減と環境保護が主な目的です。海洋汚染対策にもなります。|店舗の売上向上は副次的な効果かもしれませんが、主目的は環境保護です。むしろ袋代徴収の手間が増えます。|消費税対策とは関係ありません。レジ袋有料化は環境政策として導入されました。|万引き防止は目的ではありません。環境負荷軽減とプラスチック削減が主な狙いです。
日本人が最も多く買う「お菓子のジャンル」として近年で多いのは？,チョコレート,ガム,グミ,クラッカー,1,日常雑学,normal,,チョコレートは全年代に愛され、バレンタインなど季節需要もあり、菓子類の売上で常にトップクラスです。|ガムはかつて人気でしたが、近年は売上が減少傾向にあります。マスク生活の影響もありました。|グミは若年層に人気が高まっていますが、全体の売上ではチョコレートに及びません。|クラッカーはスナック菓子の一種ですが、チョコレートほどの市場規模はありません。
スマートフォンで「バッテリーに最も悪い行為」として適切なのはどれ？,高温の場所で使用する,充電しながらゲームをしない,画面の明るさを最大にしない,アプリを頻繁に閉じない,1,日常雑学,normal,,リチウムイオンバッテリーは高温に非常に弱く、真夏の車内や直射日光下での使用は劣化を急速に進めます。|充電しながらのゲームはバッテリーに負担がかかりますが、高温ほど致命的ではありません。発熱には注意が必要です。|画面の明るさを最大にすると電池消費は早くなりますが、バッテリー寿命への直接的なダメージは高温ほどではありません。|アプリを頻繁に閉じることは実は効率が悪い場合があります。バッテリー劣化の主因は高温です。
「日本人が最もよく行く旅行先」として正しいものはどれ？,国内旅行,ヨーロッパ,南米,中東,1,日常雑学,normal,,日本人の旅行は圧倒的に国内旅行が多く、年間延べ数億人が国内を旅行します。言葉や文化の壁がなく気軽に楽しめます。|ヨーロッパは海外旅行先として人気がありますが、国内旅行と比べると行く人数は限られます。費用と時間が必要です。|南米は日本から最も遠い地域の一つで、旅行先としては非常にマイナーです。国内旅行とは比較になりません。|中東も日本人の旅行先としては少数派です。政情や文化の違いから、旅行者数は限定的です。
大人が1日に必要とする平均睡眠時間として最も一般的に推奨されるのは？,7〜8時間,5〜6時間,9〜10時間,4時間以下,1,日常雑学,hard,,医学的には成人に必要な睡眠時間は7～8時間とされ、認知機能や健康維持に最適とされています。個人差はあります。|5～6時間は睡眠不足の状態で、長期的には健康リスクが高まります。一部のショートスリーパー以外には不十分です。|9～10時間は過剰睡眠の可能性があり、逆に健康リスクが上がる場合があります。高齢者や病気の場合を除き長すぎます。|4時間以下は明らかに睡眠不足で、集中力低下や免疫力低下など様々な悪影響があります。健康的ではありません。
日本の平均寿命が世界トップクラスである主な理由として正しいものはどれ？,食生活と医療の発展,遺伝的要因のみ,運動量が極端に多いから,気候の影響,1,日常雑学,hard,,日本の長寿の要因は魚中心の食事、国民皆保険による医療へのアクセス、衛生環境の良さなど複合的な要素です。|遺伝的要因も一部ありますが、それだけでは説明できません。生活習慣や医療制度など環境要因が大きく影響しています。|日本人の平均的な運動量は世界的に見て特別多いわけではありません。むしろ座りがちな生活が問題視されています。|気候も一定の影響はありますが、長寿の主因ではありません。食生活と医療制度の充実が最大の要因です。
日本のGDP（国内総生産）を構成する要素の中で最も比率が高いのはどれでしょうか？,個人消費,政府支出,設備投資,輸出,1,経済・ビジネス,easy,,個人消費は日本のGDPの約55～60%を占める最大の構成要素で、経済の基盤となっています。家計の支出が景気を左右します。|政府支出もGDPの約20%を占める重要な要素ですが、個人消費には及びません。公共事業や社会保障などが含まれます。|設備投資は企業の生産能力向上のための投資で、GDPの約15%程度です。景気に敏感に反応する要素です。|輸出もGDPに貢献しますが、日本は内需主導型経済で、個人消費が最大の比率を占めます。
日本の中央銀行として正しい機関はどれでしょうか？,日本銀行,三井住友銀行,ゆうちょ銀行,農林中央金庫,1,経済・ビジネス,easy,,日本銀行（日銀）は1882年設立の中央銀行で、金融政策の実施、紙幣の発行、金融システムの安定を担います。|三井住友銀行は民間の大手都市銀行（メガバンク）で、中央銀行ではありません。一般企業や個人向けの金融サービスを提供します。|ゆうちょ銀行は郵政民営化で誕生した銀行ですが、中央銀行ではありません。貯金や送金などのサービスを提供しています。|農林中央金庫は農林水産業の協同組織金融機関で、中央銀行ではありません。JAなどの系統金融の中核です。
企業が利益を最大化するために重視する「売上 − 費用＝？」に入る言葉はどれでしょうか？,利益,資産,キャッシュフロー,負債,1,経済・ビジネス,easy,,利益は「売上−費用」で計算され、企業活動の成果を示す最も基本的な指標です。純利益や営業利益など種類があります。|資産は企業が保有する財産（現金、設備、在庫など）で、売上から費用を引いたものではありません。貸借対照表に記載されます。|キャッシュフローは現金の流れを示す指標で、利益とは異なります。現金収支のタイミングを重視した概念です。|負債は企業が返済すべき借金や債務で、売上−費用の計算結果ではありません。貸借対照表の負債の部に記載されます。
企業の「固定費」に該当するものとして最も適切なのは？,家賃,材料費,外注費,仕入れ原価,1,経済・ビジネス,easy,,家賃は売上の増減に関わらず毎月一定額が発生する典型的な固定費です。オフィスや店舗の賃料が該当します。|材料費は生産量に応じて変動する変動費です。製品を多く作れば材料費も増えるため、固定費ではありません。|外注費も仕事量に応じて変動する変動費が一般的です。委託する業務が増えれば外注費も増加します。|仕入れ原価は販売数量に応じて変動する変動費です。多く売れば仕入れも増えるため、固定費には分類されません。
日本の代表的な株価指数として正しいものはどれでしょうか？,日経平均株価,NYダウ,FTSE100,S&P500,1,経済・ビジネス,normal,,日経平均株価（日経225）は東京証券取引所の代表的な225銘柄の平均株価で、日本経済の動向を示す指標です。|NYダウ（ダウ工業株30種平均）はアメリカの代表的な株価指数で、日本の指数ではありません。|FTSE100はイギリス・ロンドン証券取引所の株価指数で、日本とは関係ありません。英国の大手100社で構成されます。|S&P500はアメリカの代表的な株価指数で、500社の株価を基に算出されます。日本の指数ではありません。
ビジネスで使われる「PDCAサイクル」のPは何を意味するでしょうか？,Plan（計画）,Process（工程）,Practice（実行）,Progress（進捗）,1,経済・ビジネス,normal,,PDCAサイクルは「Plan（計画）→Do（実行）→Check（評価）→Act（改善）」の継続的改善手法で、Pは計画を意味します。|Process（工程）はビジネス用語ですが、PDCAのPではありません。業務の流れや手順を指す言葉です。|Practice（実行）も重要ですが、PDCAのPはPlanです。実行はDo（D）に該当します。|Progress（進捗）は進み具合を示す言葉ですが、PDCAのPはPlan（計画）です。
為替レートにおいて「円高」が進むと一般的にどうなるでしょうか？,輸入品が安くなる,輸出企業の利益が増える,海外旅行が高くなる,円の価値が下がる,1,経済・ビジネス,normal,,円高は円の価値が上がることで、同じ円で多くの外貨が買えるようになり、輸入品の円換算価格が下がります。海外旅行も安くなります。|円高になると輸出品の外貨建て価格が上がり、輸出企業の競争力が低下して利益が減る傾向があります。|円高では海外旅行が安くなります。同じ円でより多くの外貨に交換できるため、現地での支出が割安になります。|円高は円の価値が「上がる」ことを意味します。例えば1ドル=150円→100円になることが円高です。
日本企業が決算時期として最も多く採用している月はどれでしょうか？,3月,6月,12月,9月,1,経済・ビジネス,normal,,日本企業の約7割が3月決算を採用しています。官公庁の会計年度（4月～翌3月）に合わせた慣習で、取引先との決算時期統一の利点もあります。|6月決算の企業もありますが少数派です。夏のボーナス時期と重なるため採用が限られます。|12月決算は欧米企業に多く、日本でも外資系企業や一部の企業が採用していますが、3月決算ほど多くありません。|9月決算は半期決算の節目として採用する企業もありますが、年度決算としては3月が圧倒的に多数です。
「インフレ」が進行した際、一般的に消費者が感じる影響として正しいものは？,物価が上昇する,物価が下落する,金利が必ず下がる,給与が自動的に増える,1,経済・ビジネス,hard,,インフレーション（インフレ）は継続的に物価が上昇する現象で、同じ金額で買える商品の量が減り、生活コストが上がります。|物価が下落するのはデフレーション（デフレ）で、インフレとは逆の現象です。長期化すると経済活動が停滞します。|インフレ時は通常、中央銀行が金利を上げて物価上昇を抑制しようとします。金利が必ず下がるわけではありません。|給与がインフレ率に応じて自動的に増えるわけではありません。物価上昇に賃金上昇が追いつかないと実質的な購買力が低下します。
企業が「固定費削減」を目指す主な理由として正しいものはどれでしょうか？,損益分岐点を下げるため,従業員を減らすため,資本金を増やすため,市場シェアを奪うため,1,経済・ビジネス,hard,,固定費を削減すると損益分岐点（売上=費用となる点）が下がり、少ない売上でも利益が出やすい体質になります。経営の安定性が向上します。|人件費削減は固定費削減の一手段ですが、目的ではなく手段です。真の目的は損益分岐点を下げて利益体質を強化することです。|固定費削減と資本金は直接関係ありません。資本金は株主からの出資額で、費用削減では増えません。|市場シェア拡大は固定費削減の直接的な目的ではありません。固定費削減の主目的は収益性の改善です。
インターネット接続に使われる「Wi-Fi」が意味する言葉として正しいものはどれでしょうか？,無線LAN規格,高速通信回線,光ファイバーの名称,スマホ専用通信,1,IT,easy,,Wi-Fiは無線LANの国際標準規格（IEEE 802.11）を示す一般名称で、ケーブルなしでインターネット接続できる技術です。|高速通信回線は光ファイバーやLTEなどを指しますが、Wi-Fiは無線LAN規格の名称で、回線そのものではありません。|光ファイバーは有線の高速通信回線技術で、Wi-Fiとは異なります。家庭やオフィスへの固定回線として使われます。|Wi-Fiはスマホ専用ではなく、パソコン、タブレット、IoT機器など様々なデバイスで使える汎用的な無線通信規格です。
スマートフォンで使われる「OS」の例として正しい組み合わせはどれでしょうか？,AndroidとiOS,ChromeとSafari,IntelとAMD,SQLとPython,1,IT,easy,,スマートフォンは主にGoogle開発のAndroidとApple開発のiOSという2大オペレーティングシステムで動作します。|ChromeとSafariはWebブラウザ（アプリ）で、OSではありません。ChromeはGoogle製、SafariはApple製のブラウザです。|IntelとAMDはCPU（プロセッサー）の製造メーカーで、OSではありません。パソコン向けのチップを作る会社です。|SQLはデータベース言語、Pythonはプログラミング言語で、どちらもOSではありません。ソフトウェア開発に使われます。
コンピュータの記憶装置で、電源を切ってもデータが残るものは？,SSD,メモリ（RAM）,キャッシュ,レジスタ,1,IT,easy,,SSD（ソリッドステートドライブ）やHDDなどのストレージは不揮発性メモリで、電源オフでもデータを保持します。写真や文書を保存します。|メモリ（RAM）は揮発性で、電源を切るとデータが消えます。一時的な作業領域として高速にデータを読み書きします。|キャッシュもRAMの一種で揮発性メモリです。CPUとメモリ間の速度差を埋めるための高速な一時記憶領域です。|レジスタはCPU内部の超高速な一時記憶領域で揮発性です。電源を切るとデータは消えます。
フィッシング詐欺の主な手口として適切なのは？,偽メールや偽サイトへ誘導し情報を盗む,Wi-Fiを高速化する,ウイルスの駆除を行う,自動的にパスワードを作成する,1,IT,easy,,フィッシング詐欺は銀行やECサイトを装った偽メールで偽サイトに誘導し、IDやパスワード、クレジットカード情報を盗む犯罪手法です。|Wi-Fi高速化はフィッシングとは無関係です。むしろ「Wi-Fiを高速化する」という名目で詐欺アプリをインストールさせる手口もあります。|ウイルス駆除はセキュリティ対策で、フィッシング詐欺ではありません。逆に「ウイルスが検出されました」という偽警告で詐欺サイトに誘導する手口があります。|パスワード自動生成は正当なセキュリティ機能で、詐欺手法ではありません。むしろ強力なパスワード作成に役立ちます。
「クラウドサービス」に該当するものとして最も適切なのは？,Google Drive,A4プリンター,USBメモリ,家庭用ルーター,1,IT,normal,,Google DriveはインターネットI経由でファイルを保存・共有できるクラウドストレージサービスです。どこからでもアクセス可能です。|A4プリンターは物理的なハードウェア機器で、クラウドサービスではありません。紙に印刷する周辺機器です。|USBメモリは物理的な外部記憶装置で、クラウドではなくローカルストレージです。持ち運びが必要です。|家庭用ルーターはネットワーク機器で、インターネット接続を家庭内で分配する装置です。クラウドサービスではありません。
Webサイトにアクセスする際に使用する「URL」の正式名称はどれでしょうか？,Uniform Resource Locator,Universal Link Resource,Unified Router Link,User Route Listing,1,IT,normal,,URLはUniform Resource Locator（統一資源位置指定子）の略で、インターネット上の資源（Webページなど）の場所を示す標準表記法です。|Universal Link ResourceはURLらしい響きですが、正式な用語ではありません。正しくはUniform Resource Locatorです。|Unified Router LinkはURLの略としては不正確です。ルーター（Router）はネットワーク機器を指す言葉です。|User Route ListingもURLに似た響きですが正しくありません。URLはUniform Resource Locatorが正式名称です。
企業でよく使われる「VPN」の主な目的として正しいものは？,安全な通信経路を確保する,スマホの速度を上げる,広告の表示を減らす,印刷設定を改善する,1,IT,normal,,VPN（Virtual Private Network）は暗号化された仮想専用回線を構築し、外部から社内ネットワークへ安全に接続する技術です。テレワークで重要です。|VPNは速度向上が目的ではなく、セキュリティが目的です。むしろ暗号化処理により若干速度が低下する場合があります。|広告ブロックはVPNの主目的ではありません。一部のVPNサービスに広告ブロック機能がある場合もありますが、本来の目的は安全な通信です。|印刷設定とVPNは無関係です。VPNは通信経路の暗号化とプライバシー保護が主な目的です。
IT用語の「アルゴリズム」とはどのような意味でしょうか？,問題を解く手順や方法,通信速度の規格,ハードウェアの種類,インターネット回線の名称,1,IT,normal,,アルゴリズムは問題を解決するための明確な手順や計算方法のことです。プログラミングやAIの基礎となる概念です。|通信速度の規格は5GやLTEなどを指しますが、アルゴリズムとは異なります。アルゴリズムは処理手順のことです。|ハードウェアはCPUやメモリなどの物理的な機器を指します。アルゴリズムはソフトウェア的な概念で、処理手順を意味します。|インターネット回線の名称（光ファイバーなど）とアルゴリズムは無関係です。アルゴリズムは問題解決の手順を指します。
パスワード管理において最も危険とされる行為はどれでしょうか？,同じパスワードを複数サービスで使い回す,12文字以上にする,英数字を混在させる,定期的に変更する,1,IT,hard,,パスワードの使い回しは、一つのサービスから情報が漏洩すると他のサービスにも不正アクセスされる「芋づる式被害」のリスクが極めて高く、最も危険です。|12文字以上の長いパスワードは推奨される安全な対策です。長ければ総当たり攻撃に強くなります。|英数字を混在させるのは安全性を高める推奨方法です。さらに記号も混ぜるとより強固になります。|定期的な変更は従来推奨されていましたが、最近は「強力なパスワードを使い回さない」方が重要とされています。変更自体は悪い行為ではありません。
