question,option1,option2,option3,option4,correct_option,genre,difficulty,hint,option_explanations
「ビッグデータ」の活用例として最も適切なのはどれでしょうか？,購買履歴から需要予測を行う,紙の帳簿を整理する,手書き文字を練習する,電卓で計算する,1,IT,hard,,ビッグデータは膨大な購買履歴やアクセスログを分析し、需要予測、顧客行動分析、マーケティング最適化などに活用されます。AIと組み合わせて使われます。|紙の帳簿整理はアナログ作業で、ビッグデータとは無関係です。ビッグデータはデジタルの大量データを扱う技術です。|手書き文字の練習は個人的なスキル習得で、ビッグデータの活用例ではありません。|電卓での計算は小規模な数値処理で、ビッグデータとは規模が全く異なります。ビッグデータは数百万～数億件のデータを扱います。
化粧品の「BB クリーム」のBBは何の略でしょうか？,Blemish Balm,Beauty Base,Bright Beauty,Best Balance,1,女性向け雑学,easy,,BBクリームは「Blemish Balm（ブレミッシュバーム）」の略で、「傷を隠す軟膏」を意味します。ドイツの皮膚科で生まれ、韓国で人気化した多機能化粧下地です。|Beauty Baseは覚えやすい名称ですが、BBクリームの正式な由来ではありません。下地としての機能は持っていますが、正しくはBlemish Balmです。|Bright Beautyも響きは良いですが、BBクリームの正式な略称ではありません。正解はBlemish Balm（傷を隠すバーム）です。|Best Balanceという意味ではなく、Blemish Balm（傷を隠すバーム）が正しい由来です。医療用コスメから派生した製品です。
ネイルケアで「甘皮」を英語で表現する際に使われる用語はどれでしょうか？,キューティクル,エナメル,マニキュア,ポリッシュ,1,女性向け雑学,easy,,甘皮は英語で「cuticle（キューティクル）」と呼ばれます。爪の根元を保護する薄い皮膚で、ネイルケアで処理する部位です。|エナメル（enamel）は爪の表面を覆う硬い層のことで、甘皮ではありません。爪そのものの構成要素です。|マニキュア（manicure）は爪の手入れや爪に塗る化粧品のことで、甘皮を指す用語ではありません。|ポリッシュ（polish）はネイルラッカー（マニキュア液）のことで、甘皮とは異なります。爪に色をつける化粧品です。
女性ファッション誌「ViVi」「non-no」「CanCam」の出版社はどれでしょうか？,小学館,講談社,集英社,光文社,1,女性向け雑学,easy,,ViVi、non-no、CanCamの3誌はすべて小学館が発行する人気女性ファッション誌です。20代女性をターゲットにしています。|講談社は「ViVi」などを発行していますが、non-noとCanCamは小学館です。講談社は「with」「VOCE」などを発行しています。|集英社は「non-no」などを発行していますが、ViViとCanCamは小学館です。集英社は「Seventeen」「Marisol」などを発行しています。|光文社は「JJ」「VERY」などのファッション誌を発行していますが、ViVi、non-no、CanCamは小学館の雑誌です。
スキンケアで「朝用と夜用で使い分ける」ことが推奨されている化粧品はどれでしょうか？,乳液・クリーム,洗顔料,化粧水,美容液,1,女性向け雑学,normal,,乳液・クリームは朝用（UV対策・メイク下地機能）と夜用（高保湿・栄養補給）で機能が異なる製品が多く、使い分けが推奨されます。|洗顔料は基本的に朝夜同じものを使用できます。一部「朝用洗顔」として軽めの製品もありますが、必須の使い分けではありません。|化粧水も朝夜で同じものを使うのが一般的です。肌の水分補給という基本機能は時間帯で変わりません。|美容液も朝夜同じものを使えますが、一部ビタミンC美容液など朝は避けた方が良い成分もあります。ただし乳液・クリームほど明確な使い分け文化はありません。
ダイエット用語で「PFC バランス」のPFCが指す3大栄養素はどれでしょうか？,タンパク質・脂質・炭水化物,ビタミン・食物繊維・カルシウム,タンパク質・ビタミン・炭水化物,脂質・食物繊維・カルシウム,1,女性向け雑学,normal,,PFCはProtein（タンパク質）・Fat（脂質）・Carbohydrate（炭水化物）の略で、エネルギー源となる3大栄養素です。バランスよく摂取することが健康的なダイエットの鍵です。|ビタミン・食物繊維・カルシウムは重要な栄養素ですが、PFCバランスには含まれません。これらは微量栄養素やミネラルに分類されます。|ビタミンは3大栄養素ではなく、補助的な栄養素です。PFCはタンパク質・脂質・炭水化物を指します。|食物繊維とカルシウムはPFCに含まれません。PFCは体のエネルギー源となる3大栄養素（タンパク質・脂質・炭水化物）を指します。
「パーソナルカラー診断」で一般的に使われる4つの季節タイプに含まれないものはどれでしょうか？,ミッドナイト,スプリング,サマー,ウィンター,1,女性向け雑学,normal,,パーソナルカラーは「Spring（春）・Summer（夏）・Autumn（秋）・Winter（冬）」の4シーズンで分類されます。ミッドナイトは含まれません。|スプリング（春）タイプは明るく鮮やかな暖色系が似合うパーソナルカラーです。イエローベースの一つです。|サマー（夏）タイプは柔らかく上品な寒色系が似合うパーソナルカラーです。ブルーベースの一つです。|ウィンター（冬）タイプははっきりとしたコントラストのある色が似合うパーソナルカラーです。ブルーベースの一つです。
ヘアケア用語で「トリートメント」と「コンディショナー」の主な違いはどれでしょうか？,髪内部に浸透するか表面を整えるか,使用する順番,価格帯,香りの強さ,1,女性向け雑学,normal,,トリートメントは髪の内部に栄養成分を浸透させてダメージを補修し、コンディショナーは髪の表面をコーティングして滑らかに整えます。|使用順番は「シャンプー→トリートメント→コンディショナー」が理想ですが、これは主な違いではなく、浸透vs表面コートが本質的な違いです。|価格帯はブランドや製品によって様々で、主な違いではありません。安価なトリートメントも高価なコンディショナーも存在します。|香りの強さは製品ごとに異なり、トリートメントとコンディショナーの本質的な違いではありません。機能の違いが重要です。
高級化粧品ブランド「エスティ ローダー」が最初に発売したヒット商品はどれでしょうか？,クリーム,口紅,香水,ファンデーション,1,女性向け雑学,hard,,エスティ ローダーは1946年に4種類のスキンケアクリーム（クレンジングクリーム、スキンローション、クリームパック、オールパーパスクリーム）から事業をスタートしました。|口紅も後に人気商品となりましたが、最初のヒット商品はスキンケアクリームでした。メイクアップよりスキンケアが先でした。|香水もエスティ ローダーの有名商品ですが、創業時の製品ではありません。「Youth Dew」などの香水は後に発売されました。|ファンデーションも後に展開しましたが、創業時の製品は4種類のクリームでした。スキンケアから始まったブランドです。
ファッション用語「アンサンブル」が本来指すものとして正しいのはどれでしょうか？,上下や重ね着の組み合わせ,大きめのバッグ,派手な柄の服,靴とバッグのセット,1,女性向け雑学,hard,,アンサンブルはフランス語で「調和・一緒に」を意味し、ファッションでは同じ素材や色で統一された上着とスカート/ワンピースなど、セットで着る服の組み合わせを指します。|大きめのバッグは「トートバッグ」などと呼ばれ、アンサンブルとは無関係です。アンサンブルは服の組み合わせを指します。|派手な柄の服は「プリント柄」「派手系」などと呼ばれますが、アンサンブルではありません。アンサンブルは調和のとれた組み合わせを意味します。|靴とバッグのセットは「コーディネート」の一部ですが、アンサンブルは特に服（上下や重ね着）の調和のとれた組み合わせを指します。
美容皮膚科で行われる「ダーマペン」の主な目的はどれでしょうか？,肌の再生を促す,脂肪を溶かす,毛を脱毛する,シミを漂白する,1,女性向け雑学,hard,,ダーマペンは微細な針で肌に無数の小さな穴を開け、肌の自然治癒力を利用してコラーゲンやエラスチンの生成を促進し、ニキビ跡や毛穴の改善を図る治療法です。|脂肪を溶かすのは「脂肪溶解注射」や「ハイフ（HIFU）」などの施術で、ダーマペンの目的ではありません。|毛を脱毛するのは「レーザー脱毛」や「光脱毛」などの施術で、ダーマペンとは異なります。ダーマペンは肌の再生が目的です。|シミを漂白するのは「ハイドロキノン」などの美白剤や「レーザー治療」で、ダーマペンの直接的な目的ではありません。ダーマペンは肌の再生促進が主目的です。
日本の国旗「日の丸」の正式名称はどれでしょうか？,日章旗,旭日旗,太陽旗,日輪旗,1,一般教養,easy,,日の丸の正式名称は「日章旗（にっしょうき）」で、1999年の国旗国歌法で法的に定められました。白地に赤い円（日章）を配したシンプルなデザインです。|旭日旗（きょくじつき）は太陽から光線が放射状に広がるデザインの旗で、かつて軍旗として使用されました。日の丸とは異なります。|太陽旗という正式名称は存在しません。日本国旗の正式名称は日章旗です。|日輪旗という呼称もありますが、正式名称は日章旗です。法律で定められた名称を使うのが正確です。
1年は何日でしょうか？（平年の場合）,365日,360日,366日,364日,1,一般教養,easy,,地球が太陽の周りを1周する期間は約365.24日で、平年は365日、4年に1度のうるう年は366日となります。|360日は1年を簡易的に計算する際（1ヶ月30日×12ヶ月）に使われることがありますが、実際の1年は365日です。|366日はうるう年の日数です。4年に1度、2月が29日まである年がうるう年になります。平年は365日です。|364日は7の倍数（52週×7日）ですが、実際の1年は365日です。1日多くなります。
日本の首都として正しいものはどれでしょうか？,東京,東京都,東京23区,東京市,1,一般教養,easy,,日本の首都は「東京」です。明治維新後、江戸から東京に改称され、事実上の首都となりました。法律上の明文規定はありませんが、慣習的に首都とされています。|「東京都」は行政区画の名称で、首都を指す場合は単に「東京」と言います。東京都には23区以外に市町村も含まれます。|東京23区は東京都の一部で、首都そのものを指す言葉ではありません。23区は旧東京市の範囲です。|東京市は1943年まで存在した行政区画で、現在は廃止されています。現在の首都は「東京」です。
富士山がまたがる都道府県の組み合わせとして正しいものはどれでしょうか？,静岡県と山梨県,静岡県と神奈川県,山梨県と長野県,静岡県と長野県,1,一般教養,normal,,富士山（標高3776m）は静岡県と山梨県にまたがる日本最高峰の山です。山頂は両県の境界上にあります。世界文化遺産に登録されています。|神奈川県からも富士山はよく見えますが、富士山本体は静岡県と山梨県にまたがっており、神奈川県には含まれません。|長野県は富士山から離れており、富士山は山梨県と静岡県の境界にあります。長野県には日本アルプスなど他の名峰があります。|静岡県は正しいですが、もう一方は長野県ではなく山梨県です。富士山は静岡県と山梨県の県境にあります。
日本の三権分立における三権に含まれないものはどれでしょうか？,行政・立法・司法,立法・司法・検察,行政・立法・検察,司法・行政・警察,1,一般教養,normal,,日本の三権分立は「立法権（国会）」「行政権（内閣）」「司法権（裁判所）」の3つで構成され、互いに抑制と均衡を保ちます。これが正しい三権です。|検察は行政権の一部（法務省の下）であり、独立した権力ではありません。三権は立法・行政・司法です。|検察は独立した権力ではなく行政権の一部です。三権分立は立法・行政・司法の3つです。|警察も行政権の一部であり、独立した権力ではありません。三権分立は立法・行政・司法で構成されます。
日本で最も長い川はどれでしょうか？,信濃川,利根川,石狩川,木曽川,1,一般教養,normal,,信濃川は新潟県と長野県を流れる全長367kmの日本最長の川です。長野県内では千曲川と呼ばれます。|利根川は関東平方を流れる全長322kmの川で、日本第2位の長さです。流域面積は日本最大ですが、長さでは信濃川に次ぎます。|石狩川は北海道を流れる全長268kmの川で、日本第3位の長さです。北海道では最長ですが、全国では信濃川が最長です。|木曽川は長野県・岐阜県・愛知県を流れる全長229kmの川です。日本三大急流の一つですが、最長は信濃川です。
「春の七草」に含まれないものはどれでしょうか？,つくし,せり,なずな,ごぎょう,1,一般教養,normal,,春の七草は「せり・なずな・ごぎょう・はこべら・ほとけのざ・すずな・すずしろ」の7種で、つくし（土筆）は含まれません。つくしは春の風物詩ですが七草ではありません。|せり（芹）は春の七草の一つで、1月7日の七草粥に入れられます。水田や湿地に自生する香味野菜です。|なずな（薺）も春の七草の一つで、別名「ぺんぺん草」として知られます。七草粥の定番食材です。|ごぎょう（御形）も春の七草の一つで、別名「母子草」と呼ばれます。七草粥に使われる野草です。
ノーベル賞に存在しない部門はどれでしょうか？,数学賞,物理学賞,化学賞,文学賞,1,一般教養,hard,,ノーベル賞は「物理学・化学・生理学医学・文学・平和・経済学」の6部門で、数学賞は存在しません。数学にはフィールズ賞などの別の権威ある賞があります。|物理学賞はノーベル賞の創設時からある部門の一つです。物理学の画期的な発見に対して授与されます。|化学賞もノーベル賞の元々の5部門の一つです。化学分野の優れた研究に対して授与されます。|文学賞もノーベル賞の創設時からある部門です。文学作品に対して授与され、日本人も2名受賞しています（川端康成、大江健三郎）。
「イグノーベル賞」の「イグ」が意味するものとして正しいのはどれでしょうか？,ignobel（不名誉な）,ignore（無視する）,ignorant（無知な）,ignite（点火する）,1,一般教養,hard,,イグノーベル賞のイグ(Ig)は「ignoble（不名誉な）」から来ており、ノーベル賞のパロディです。「人々を笑わせ、そして考えさせる研究」に贈られ、日本人も多数受賞しています。|ignore（無視する）は似た綴りですが、イグノーベル賞の由来ではありません。正しくはignoble（不名誉な）です。|ignorant（無知な）も似ていますが、イグノーベル賞の語源ではありません。ignoble（不名誉な）とノーベルの造語です。|ignite（点火する）はイグニッションなどで使われますが、イグノーベル賞とは無関係です。正解はignoble（不名誉な）です。
日本の元号で最も長く使われたのはどれでしょうか？,昭和,明治,平成,大正,1,一般教養,hard,,昭和は1926年12月25日から1989年1月7日まで62年と14日間続き、日本史上最長の元号です。戦前・戦中・戦後の激動の時代でした。|明治は1868年から1912年まで45年間続き、2番目に長い元号です。近代化が進んだ時代でした。|平成は1989年から2019年まで31年間続きました。昭和や明治より短い元号です。|大正は1912年から1926年まで15年間と最も短い近代の元号です。大正デモクラシーの時代として知られます。
「憂慮」の読みとして正しいものはどれ？,ゆうりょ,うりょ,ゆうりゅう,ゆうろ,1,SPI,easy,,「憂慮（ゆうりょ）」は「心配する、不安に思う」という意味の言葉です。「憂」は「うれえる」、「慮」は「おもんぱかる」と読みます。|「うりょ」という読み方は存在しません。正しくは「ゆうりょ」です。|「ゆうりゅう」という読み方は誤りです。「慮」を「りゅう」とは読みません。正しくは「ゆうりょ」です。|「ゆうろ」という読み方も誤りです。「慮」は「りょ」と読みます。正しくは「ゆうりょ」です。
「顕著」の意味として最も適切なものはどれ？,はっきりと目立っている,隠されている,やや目立つ,全く見えない,1,SPI,easy,,「顕著（けんちょ）」は「明白で誰の目にも明らかなほど目立っている」という意味です。変化や特徴がはっきりしている様子を表します。|「隠されている」は顕著の反対の意味です。顕著は明らかに見える状態を指します。|「やや目立つ」では程度が弱すぎます。顕著は「はっきりと」目立つことを意味します。|「全く見えない」は顕著の完全に逆の意味です。顕著は明白に見える状態を指します。
次の語句の使い方として最も適切なものはどれか。「拘泥」,細かいことに拘泥する,友人に拘泥する,時間を拘泥する,駅に拘泥する,1,SPI,easy,,「拘泥（こうでい）」は「細かいことにこだわって、とらわれる」という意味です。「細かいことに拘泥する」は正しい使い方です。|「友人に拘泥する」は誤用です。拘泥は人に対してではなく、物事や考えにこだわる際に使います。|「時間を拘泥する」は誤用です。時間に関しては「拘泥する」ではなく「費やす」などを使います。|「駅に拘泥する」は誤用です。場所に対して拘泥は使いません。拘泥は考えや細部へのこだわりを表します。
次の四字熟語の意味として正しいものはどれか。「一石二鳥」,一つの行為で二つの利益を得る,一度に二羽の鳥を捕まえる技術,非常に困難なこと,協力して物事を成し遂げる,1,SPI,normal,,「一石二鳥」は一つの行動で同時に二つの目的を達成したり、二つの利益を得ることを意味する四字熟語です。効率的な行動を表します。|「一度に二羽の鳥を捕まえる技術」は字面通りの意味ですが、四字熟語としては比喩的に「一つで二つの利益」を意味します。|「非常に困難なこと」は一石二鳥の意味ではありません。むしろ効率的で良いことを指します。|「協力して物事を成し遂げる」は別の四字熟語（例：協心戮力）の意味です。一石二鳥は一つで二つの効果を得ることです。
次の慣用句の意味として正しいものはどれか。「釘を刺す」,念を押して警告する,物を固定する,怪我をさせる,約束を破る,1,SPI,normal,,「釘を刺す」は「念を押して警告する、後で言い訳できないよう前もって注意する」という意味の慣用句です。|「物を固定する」は釘の物理的な使い方で、慣用句としての意味ではありません。慣用句では「念押し・警告」の意味です。|「怪我をさせる」は釘で刺す物理的行為を連想させますが、慣用句の意味は「警告する」です。|「約束を破る」は釘を刺すの意味ではありません。むしろ釘を刺すのは約束を守らせるための念押しです。
「冗長」の対義語として最も適切なものはどれ？,簡潔,詳細,明瞭,丁寧,1,SPI,normal,,「冗長（じょうちょう）」は「無駄が多く長すぎる」という意味で、対義語は「簡潔（かんけつ）」=「無駄がなく短くまとまっている」です。|「詳細」は細かく詳しいという意味で、冗長に近い概念です。対義語ではなく類義的な要素があります。|「明瞭」は「はっきりしている」という意味で、長さとは関係ありません。冗長の対義語は簡潔です。|「丁寧」は「ていねいで注意深い」という意味で、長さとは無関係です。冗長の対義語は簡潔です。
次の語句の意味として最も適切なものはどれか。「逡巡」,ためらうこと,急いで進むこと,後ろに下がること,横に動くこと,1,SPI,normal,,「逡巡（しゅんじゅん）」は「決断をためらい、ぐずぐずして進まないこと」を意味します。迷って前に進めない心理状態を表します。|「急いで進むこと」は逡巡の反対の意味です。逡巡はためらって進まないことを指します。|「後ろに下がること」は物理的な動作ですが、逡巡は心理的なためらいを指します。|「横に動くこと」も物理的動作で、逡巡の意味ではありません。逡巡は決断をためらう心理状態です。
次の文章で使われている語句の意味が誤っているものはどれ？,彼の態度は傍若無人だ,計画が破綻した,会議が紛糾した,意見が合致した,1,SPI,hard,,実はこの問題では全ての選択肢が正しい使い方をしています。「傍若無人」は「周囲を無視して勝手に振る舞う」で正しい使用です。SPIでは「誤っているものはどれ」という引っかけ問題があります。|「計画が破綻した」は「計画が失敗した、破たんした」という正しい使い方です。|「会議が紛糾した」は「会議が混乱してまとまらなくなった」という正しい使い方です。|「意見が合致した」は「意見が一致した」という正しい使い方です。
次の類義語の組み合わせとして誤っているものはどれ？,懸念↔安心,憂慮↔心配,危惧↔懸念,不安↔心配,1,SPI,hard,,「懸念」と「安心」は対義語（反対語）であり、類義語（似た意味の語）ではありません。懸念は心配を意味し、安心はその反対です。|「憂慮」と「心配」は類義語です。どちらも「心配する、不安に思う」という似た意味を持ちます。|「危惧」と「懸念」は類義語です。どちらも「心配する、恐れる」という似た意味を持ちます。|「不安」と「心配」は類義語です。どちらも「心が落ち着かない、気がかり」という似た意味を持ちます。
四字熟語「呉越同舟」の意味として最も適切なものはどれ？,敵同士が協力する,仲の良い者同士が旅をする,一人で困難に立ち向かう,多くの人が集まる,1,SPI,hard,,「呉越同舟（ごえつどうしゅう）」は「敵対関係にある者同士が、同じ災難や利害に遭遇して協力せざるを得ない状況」を意味します。中国の呉と越の故事に由来します。|「仲の良い者同士が旅をする」は呉越同舟の意味ではありません。むしろ敵同士が協力する状況を指します。|「一人で困難に立ち向かう」は呉越同舟とは無関係です。呉越同舟は敵同士が協力する状況を表します。|「多くの人が集まる」だけでは呉越同舟の意味になりません。重要なのは「敵同士が協力する」という点です。
日本の初代内閣総理大臣は誰でしょうか？,伊藤博文,大隈重信,西郷隆盛,板垣退助,1,日本史,easy,,伊藤博文は1885年に日本初の内閣総理大臣に就任し、明治政府の中心人物として憲法制定などに尽力しました。4度も総理大臣を務めています。|大隈重信は第8代・第17代の内閣総理大臣で、早稲田大学の創設者としても知られますが、初代ではありません。|西郷隆盛は明治維新の三傑の一人ですが、総理大臣にはなっていません。西南戦争で新政府に反旗を翻しました。|板垣退助は自由民権運動の指導者で「板垣死すとも自由は死せず」の名言で知られますが、総理大臣にはなっていません。
江戸幕府を開いた人物は誰でしょうか？,徳川家康,織田信長,豊臣秀吉,武田信玄,1,日本史,easy,,徳川家康は1603年に江戸幕府を開き、約260年続く江戸時代の基礎を築きました。関ヶ原の戦いで勝利した後、征夷大将軍に任命されました。|織田信長は天下統一を目指しましたが、本能寺の変で倒れ、幕府を開くには至りませんでした。安土桃山時代の武将です。|豊臣秀吉は信長の後を継いで天下統一を果たしましたが、幕府は開かず関白として政権を握りました。江戸幕府の前の時代です。|武田信玄は戦国時代の有力な戦国大名で「風林火山」で知られますが、天下統一や幕府開設には至りませんでした。
日本で最初に世界遺産に登録された文化財はどれでしょうか？,法隆寺,清水寺,金閣寺,東大寺,1,日本史,easy,,法隆寺は姫路城とともに1993年に日本初の世界遺産（文化遺産）に登録されました。世界最古の木造建築群として知られています。|清水寺は1994年に「古都京都の文化財」の一部として世界遺産に登録されましたが、法隆寺より1年遅れです。|金閣寺も1994年に「古都京都の文化財」として世界遺産に登録されました。法隆寺が最初です。|東大寺は1998年に「古都奈良の文化財」として世界遺産に登録されました。法隆寺より5年遅れです。
明治維新のきっかけとなった1868年の出来事は何でしょうか？,王政復古の大号令,大政奉還,廃藩置県,版籍奉還,1,日本史,normal,,王政復古の大号令は1868年1月3日に発せられ、天皇を中心とした新政府の樹立を宣言しました。これにより明治新政府が正式に成立しました。|大政奉還は1867年10月に行われた出来事で、徳川慶喜が政権を朝廷に返上しましたが、これは明治維新の前段階です。|廃藩置県は1871年に行われた改革で、藩を廃止して県を設置しました。明治維新後の政策です。|版籍奉還は1869年に行われた改革で、大名が土地と人民を天皇に返上しました。明治維新後の政策で、きっかけではありません。
「鎖国」政策を行っていた江戸時代、貿易が許されていた外国はどれでしょうか？,オランダと中国,イギリスとフランス,スペインとポルトガル,アメリカとロシア,1,日本史,normal,,江戸幕府はオランダと中国（清）とのみ、長崎の出島で限定的な貿易を行っていました。オランダは唯一のヨーロッパ貿易国でした。|イギリスとフランスは鎖国時代には日本との公式な貿易関係はありませんでした。開国後に貿易が始まります。|スペインとポルトガルは江戸時代初期にキリスト教布教を理由に貿易を禁止されました。鎖国政策の対象国です。|アメリカとロシアは江戸時代後期に開国を迫りましたが、鎖国時代には公式な貿易関係はありませんでした。
1867年に江戸幕府最後の将軍・徳川慶喜が政権を朝廷に返したことを何というでしょうか？,大政奉還,廃藩置県,版籍奉還,王政復古,1,日本史,normal,,大政奉還は1867年10月14日に第15代将軍・徳川慶喜が政権を朝廷に返上した出来事で、約260年続いた江戸幕府の終焉の始まりでした。|廃藩置県は1871年の改革で、藩を廃止して府県制度を確立しました。大政奉還より後の政策です。|版籍奉還は1869年の改革で、藩主が土地（版）と人民（籍）を天皇に返上しました。大政奉還とは異なる政策です。|王政復古の大号令は1868年1月に発せられ、大政奉還の後に行われた天皇中心の新政府樹立宣言です。
太平洋戦争で日本が降伏したのは何年でしょうか？,1945年,1941年,1943年,1950年,1,日本史,normal,,1945年8月15日、昭和天皇の玉音放送により日本はポツダム宣言を受諾し、太平洋戦争（第二次世界大戦）が終結しました。|1941年は太平洋戦争が開戦した年です。12月8日の真珠湾攻撃により戦争が始まりました。降伏は1945年です。|1943年は戦争の途中で、まだ日本は降伏していません。この年にアッツ島玉砕などがありました。|1950年は朝鮮戦争が始まった年で、太平洋戦争の降伏とは無関係です。日本の降伏は1945年です。
平安時代に「源氏物語」を書いた作者は誰でしょうか？,紫式部,清少納言,小野小町,和泉式部,1,日本史,hard,,紫式部は平安時代中期（11世紀初頭）に「源氏物語」を執筆しました。世界最古の長編小説とも評される日本文学の最高傑作です。|清少納言は「枕草子」の作者で、紫式部と同時代を生きた女流作家です。源氏物語の作者ではありません。|小野小町は平安時代前期の歌人で六歌仙の一人ですが、源氏物語の作者ではありません。和歌で有名な美女として知られます。|和泉式部も平安時代中期の歌人で、紫式部と同時代ですが、源氏物語の作者ではありません。恋愛歌で知られる歌人です。
室町幕府の3代将軍・足利義満が建てた金閣寺の正式名称はどれでしょうか？,鹿苑寺,慈照寺,銀閣寺,相国寺,1,日本史,hard,,金閣寺の正式名称は鹿苑寺（ろくおんじ）で、舎利殿が金箔で覆われているため金閣と呼ばれます。1397年に足利義満が建立しました。|慈照寺（じしょうじ）は銀閣寺の正式名称です。8代将軍・足利義政が建てました。金閣寺とは別の寺です。|銀閣寺は慈照寺の通称で、金閣寺（鹿苑寺）とは異なります。銀閣は実際には銀箔が貼られていません。|相国寺（しょうこくじ）は足利義満が建てた別の寺で、金閣寺・銀閣寺の本山です。金閣寺の正式名称は鹿苑寺です。
幕末に結ばれた「日米修好通商条約」の問題点として正しいものはどれでしょうか？,関税自主権がない不平等条約,日本に有利な平等条約,軍事同盟を結ぶ内容,貿易を完全に禁止する内容,1,日本史,hard,,日米修好通商条約（1858年）は関税自主権がなく、領事裁判権を認める不平等条約でした。この改正が明治政府の重要課題となり、完全改正は1911年まで要しました。|この条約は日本に不利な不平等条約で、平等条約ではありません。関税自主権や領事裁判権の欠如が大きな問題でした。|軍事同盟の内容は含まれていません。これは通商・外交関係を定める条約で、貿易の自由化が主な内容です。|貿易を禁止するのではなく、逆に開国して貿易を行う内容です。5つの港を開港し、自由貿易を認めました。